D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_19_954.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_19_954.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_19_954.jpg, 0, 0, 0, 8.043969E-05
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_20_055.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_20_055.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_20_055.jpg, 0, 0, 0, 7.968652E-05
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_20_179.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_20_179.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_20_179.jpg, 0, 0, 0, 7.794787E-05
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_20_280.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_20_280.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_20_280.jpg, 0, 0, 0, 7.878966E-05
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_20_380.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_20_380.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_20_380.jpg, 0, 0, 0, 7.770881E-05
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_20_482.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_20_482.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_20_482.jpg, 0, 0, 0, 8.340943E-05
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_20_585.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_20_585.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_20_585.jpg, 0, 0, 0, 7.758186E-05
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_20_686.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_20_686.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_20_686.jpg, 0, 0, 0, 7.978624E-05
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_20_789.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_20_789.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_20_789.jpg, 0, 0, 0, 7.819745E-05
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_20_891.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_20_891.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_20_891.jpg, 0, 0, 0, 7.826274E-05
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_20_994.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_20_994.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_20_994.jpg, 0, 0.0582786, 0, 0.02290609
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_21_095.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_21_095.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_21_095.jpg, 0, 0.3600165, 0, 0.2764927
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_21_195.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_21_195.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_21_195.jpg, 0, 0.6613396, 0, 0.8969356
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_21_297.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_21_297.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_21_297.jpg, 0, 0.9655548, 0, 1.893563
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_21_399.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_21_399.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_21_399.jpg, -0.1095615, 1, 0, 3.049738
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_21_500.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_21_500.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_21_500.jpg, -0.4109793, 1, 0, 4.208311
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_21_601.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_21_601.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_21_601.jpg, -0.2196928, 1, 0, 5.367032
D:\Self-Driving-Sim\Training Data\IMG\center_2019_10_18_10_32_21_703.jpg, D:\Self-Driving-Sim\Training Data\IMG\left_2019_10_18_10_32_21_703.jpg, D:\Self-Driving-Sim\Training Data\IMG\right_2019_10_18_10_32_21_703.jpg, 0, 1, 0, 6.515353
